grid_size,noise_std,num_uavs,num_ugvs,steps,map_publish_period,ugv_depth,reward_type,discount_factor,v_limit,step_of_ugv_path_used,suenaga_on,unom_gain,suenaga_gain,cbf_j_alpha,cbf_j_gamma,gp_sigma0,gp_max_basis,gp_delta,rbf_sigma,case1_count,case2_count,case3_count,seed,run
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,0,0
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,36,18,0,1,1
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,2,2
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,36,18,0,3,3
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,4,4
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,5,5
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,6,6
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,36,18,0,7,7
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,32,22,0,8,8
50,0.5,3,2,5,0.5,8,3,0.95,25.0,6,False,2.0,2.0,1.0,3.0,0.4,100,0.05,2.0,27,27,0,9,9
